date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:23	131930/131930	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222035a-5fb7f225-9760bca7a92d8545;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-brands-400.eot	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-brands-400.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:24	131930/131930	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222035a-5fb7f225-9ff3cc8b996ebec8;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-brands-400d41d.eot?	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-brands-400d41dd41d.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:24	76008/76008	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202020%2016:43:17%20GMT	https://techbtt.site/css/fontawesome/webfonts/fa-brands-400.html	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-brands-400.html	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:24	89100/89100	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2215c0c-5fb7f225-3b1d2627ca51cb21;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-brands-400.woff	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-brands-400.woff	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:25	131624/131624	---M--	200	added ('OK')	application/x-font-ttf	etag:%2220228-5fb7f225-e5572b9778e46a29;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-brands-400.ttf	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-brands-400.ttf	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:25	708663/708663	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ad037-5fb7f225-b755968cdcb175c;gz%22	https://techbtt.site/css/fontawesome/webfonts/fa-brands-400.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-brands-400.svg	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:26	558774/558774	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22886b6-5fb7f225-4d14885c247dbb4a;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-duotone-900.eot	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-duotone-900.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:26	558774/558774	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22886b6-5fb7f225-a0e6addb1431feb2;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-duotone-900d41d.eot?	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-duotone-900d41dd41d.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:26	184476/184476	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202020%2016:43:17%20GMT	https://techbtt.site/css/fontawesome/webfonts/fa-duotone-900.html	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-duotone-900.html	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:27	261968/261968	---MCZ	200	added ('OK')	application/font-woff	etag:W/%223ff50-5fb7f225-9d853984522d586a;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-duotone-900.woff	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-duotone-900.woff	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:28	558476/558476	---M--	200	added ('OK')	application/x-font-ttf	etag:%228858c-5fb7f225-1fde2f66bb47d515;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-duotone-900.ttf	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-duotone-900.ttf	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:28	2522431/2522431	---MCZ	200	added ('OK')	image/svg+xml	etag:%22267d3f-5fb7f225-2927e4061e91133b;gz%22	https://techbtt.site/css/fontawesome/webfonts/fa-duotone-900.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-duotone-900.svg	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:28	481498/481498	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22758da-5fb7f225-a04a8e1bd3b23d4;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-light-300.eot	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-light-300.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:29	481498/481498	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22758da-5fb7f225-6a1c3ae76d0d85;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-light-300d41d.eot?	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-light-300d41dd41d.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:29	185360/185360	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202020%2016:43:17%20GMT	https://techbtt.site/css/fontawesome/webfonts/fa-light-300.html	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-light-300.html	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:29	245836/245836	---MCZ	200	added ('OK')	application/font-woff	etag:W/%223c04c-5fb7f226-31eac971bffcca5d;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-light-300.woff	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-light-300.woff	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:30	481216/481216	---M--	200	added ('OK')	application/x-font-ttf	etag:%22757c0-5fb7f226-d31897fb7f62bb6e;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-light-300.ttf	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-light-300.ttf	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:30	2339126/2339126	---MCZ	200	added ('OK')	image/svg+xml	etag:%2223b136-5fb7f226-a5c8146c8a4e359;gz%22	https://techbtt.site/css/fontawesome/webfonts/fa-light-300.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-light-300.svg	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:31	443414/443414	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226c416-5fb7f226-8dc9255522bb203f;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-regular-400.eot	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-regular-400.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:31	443414/443414	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226c416-5fb7f226-68099d74a0b32fe;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-regular-400d41d.eot?	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-regular-400d41dd41d.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
